score,split,max_inner,max_outer,rank,rho,tol
0.035929562478369544,0,100,10,5,1.0,0.0
0.03183112041405878,0,100,10,10,1.0,0.0
0.030317430729109845,0,100,10,15,1.0,0.0
0.02960126782949469,0,100,10,20,1.0,0.0
0.029208172318845406,0,100,10,25,1.0,0.0
0.02901799082952089,0,100,10,30,1.0,0.0
0.028833317099465263,0,100,10,35,1.0,0.0
0.02877297713676461,0,100,10,40,1.0,0.0
0.028739082337511972,0,100,10,45,1.0,0.0
0.028778387007061233,0,100,10,50,1.0,0.0
0.02881252040507447,0,100,10,55,1.0,0.0
