score,split,max_inner,max_outer,rank,rho,tol
0.001868831178639384,0,50,10,8,0.5,0.0
0.0015402992403513978,0,50,10,8,1.0,0.0
0.018355628883111236,0,50,10,8,3.0,0.0
0.07335283592250318,0,50,10,8,5.0,0.0
0.0008153288717998333,0,50,10,9,0.5,0.0
0.0007492447454735207,0,50,10,9,1.0,0.0
0.017910903009418052,0,50,10,9,3.0,0.0
0.07456190016029536,0,50,10,9,5.0,0.0
1.3460919267520305e-05,0,50,10,10,0.5,0.0
8.707921221390957e-05,0,50,10,10,1.0,0.0
0.020159860182042088,0,50,10,10,3.0,0.0
0.07935396572129093,0,50,10,10,5.0,0.0
1.169898731727116e-05,0,50,10,11,0.5,0.0
5.532349601888923e-05,0,50,10,11,1.0,0.0
0.023064295072000543,0,50,10,11,3.0,0.0
0.08517893490488855,0,50,10,11,5.0,0.0
1.2587124049541867e-05,0,50,10,12,0.5,0.0
4.841335848491017e-05,0,50,10,12,1.0,0.0
0.023621372798004844,0,50,10,12,3.0,0.0
0.08689116855871491,0,50,10,12,5.0,0.0
0.0019456193920403975,0,50,20,8,0.5,0.0
0.0015081755027499747,0,50,20,8,1.0,0.0
0.001952456998559164,0,50,20,8,3.0,0.0
0.007973017185918396,0,50,20,8,5.0,0.0
0.0007480511663292138,0,50,20,9,0.5,0.0
0.0007303716479062077,0,50,20,9,1.0,0.0
0.0012319031833701762,0,50,20,9,3.0,0.0
0.008650072204209137,0,50,20,9,5.0,0.0
3.5390970792903534e-06,0,50,20,10,0.5,0.0
1.7263787718818258e-05,0,50,20,10,1.0,0.0
0.0005914389041395672,0,50,20,10,3.0,0.0
0.00851396131998772,0,50,20,10,5.0,0.0
3.7441078953193325e-06,0,50,20,11,0.5,0.0
2.2584970113290558e-05,0,50,20,11,1.0,0.0
0.0007575502424507543,0,50,20,11,3.0,0.0
0.009887808927656163,0,50,20,11,5.0,0.0
4.966340116384506e-06,0,50,20,12,0.5,0.0
8.428041331503437e-06,0,50,20,12,1.0,0.0
0.0008910054938610674,0,50,20,12,3.0,0.0
0.010130759662171198,0,50,20,12,5.0,0.0
0.0018939192170883093,0,50,30,8,0.5,0.0
0.0015040197593658231,0,50,30,8,1.0,0.0
0.001562931921709979,0,50,30,8,3.0,0.0
0.002180527161502872,0,50,30,8,5.0,0.0
0.0008086962765687934,0,50,30,9,0.5,0.0
0.000727210354403341,0,50,30,9,1.0,0.0
0.0008147177683399848,0,50,30,9,3.0,0.0
0.0017983455863782184,0,50,30,9,5.0,0.0
1.6959703762758044e-06,0,50,30,10,0.5,0.0
5.363561316976894e-06,0,50,30,10,1.0,0.0
8.326623510430222e-05,0,50,30,10,3.0,0.0
0.0010285642715419862,0,50,30,10,5.0,0.0
2.157912425178952e-06,0,50,30,11,0.5,0.0
1.5054465742859052e-05,0,50,30,11,1.0,0.0
8.611052098469729e-05,0,50,30,11,3.0,0.0
0.0011773180500069134,0,50,30,11,5.0,0.0
2.790773161381611e-06,0,50,30,12,0.5,0.0
5.997762179705766e-06,0,50,30,12,1.0,0.0
7.119461143660604e-05,0,50,30,12,3.0,0.0
0.0013148992406252624,0,50,30,12,5.0,0.0
0.0019375787065774998,0,100,10,8,0.5,0.0
0.0015176690418709157,0,100,10,8,1.0,0.0
0.018102020874415713,0,100,10,8,3.0,0.0
0.07491413444449246,0,100,10,8,5.0,0.0
0.0007852677195669563,0,100,10,9,0.5,0.0
0.0007508320767311524,0,100,10,9,1.0,0.0
0.019894041659150215,0,100,10,9,3.0,0.0
0.07604135051378576,0,100,10,9,5.0,0.0
5.4272904392224955e-06,0,100,10,10,0.5,0.0
2.935744297093369e-05,0,100,10,10,1.0,0.0
0.020897168245392637,0,100,10,10,3.0,0.0
0.08095985542071872,0,100,10,10,5.0,0.0
4.8564498190611585e-06,0,100,10,11,0.5,0.0
2.7114576677452595e-05,0,100,10,11,1.0,0.0
0.02324595289576048,0,100,10,11,3.0,0.0
0.08664979592329233,0,100,10,11,5.0,0.0
3.286684548800971e-06,0,100,10,12,0.5,0.0
6.569227019317914e-05,0,100,10,12,1.0,0.0
0.024779232017442924,0,100,10,12,3.0,0.0
0.08920825363229033,0,100,10,12,5.0,0.0
0.0018010947254668008,0,100,20,8,0.5,0.0
0.0015059529179667927,0,100,20,8,1.0,0.0
0.0019159739664843564,0,100,20,8,3.0,0.0
0.008953205247255572,0,100,20,8,5.0,0.0
0.0007155271769710037,0,100,20,9,0.5,0.0
0.000733376679472207,0,100,20,9,1.0,0.0
0.0013547635642774318,0,100,20,9,3.0,0.0
0.008978749062838774,0,100,20,9,5.0,0.0
1.9927226050524277e-07,0,100,20,10,0.5,0.0
5.7571929272970815e-06,0,100,20,10,1.0,0.0
0.0005378301880063018,0,100,20,10,3.0,0.0
0.008797520958254838,0,100,20,10,5.0,0.0
1.7375353183733858e-06,0,100,20,11,0.5,0.0
6.686034225113133e-06,0,100,20,11,1.0,0.0
0.0007067613873782706,0,100,20,11,3.0,0.0
0.010176148878239772,0,100,20,11,5.0,0.0
1.2945650051140135e-06,0,100,20,12,0.5,0.0
5.7342851113825025e-06,0,100,20,12,1.0,0.0
0.0008485807370037788,0,100,20,12,3.0,0.0
0.010711521040272187,0,100,20,12,5.0,0.0
0.001660544054289877,0,100,30,8,0.5,0.0
0.0015019146480278465,0,100,30,8,1.0,0.0
0.001540769075537346,0,100,30,8,3.0,0.0
0.002575059142983673,0,100,30,8,5.0,0.0
0.000788825406122084,0,100,30,9,0.5,0.0
0.0007269361871927606,0,100,30,9,1.0,0.0
0.0008459663343739251,0,100,30,9,3.0,0.0
0.0017335985442643886,0,100,30,9,5.0,0.0
5.4220327909125703e-08,0,100,30,10,0.5,0.0
3.136844198475006e-06,0,100,30,10,1.0,0.0
5.818660998946977e-05,0,100,30,10,3.0,0.0
0.0009859271587863805,0,100,30,10,5.0,0.0
9.00953176796173e-07,0,100,30,11,0.5,0.0
3.6325394998553946e-06,0,100,30,11,1.0,0.0
4.5613456870964744e-05,0,100,30,11,3.0,0.0
0.0011661146943431045,0,100,30,11,5.0,0.0
7.964402788683555e-07,0,100,30,12,0.5,0.0
3.5764596716516715e-06,0,100,30,12,1.0,0.0
4.677179124209763e-05,0,100,30,12,3.0,0.0
0.0013869142991565593,0,100,30,12,5.0,0.0
0.0017071030487515462,1,50,10,8,0.5,0.0
0.001595789425634171,1,50,10,8,1.0,0.0
0.019361590549832525,1,50,10,8,3.0,0.0
0.07659444477189727,1,50,10,8,5.0,0.0
0.0007893466468678884,1,50,10,9,0.5,0.0
0.0007907586164688252,1,50,10,9,1.0,0.0
0.020087374626371734,1,50,10,9,3.0,0.0
0.07698791104029107,1,50,10,9,5.0,0.0
3.4436508010133147e-05,1,50,10,10,0.5,0.0
6.279939886767e-05,1,50,10,10,1.0,0.0
0.023411817415276332,1,50,10,10,3.0,0.0
0.08526157082145705,1,50,10,10,5.0,0.0
6.745383628961936e-06,1,50,10,11,0.5,0.0
5.7314383763463404e-05,1,50,10,11,1.0,0.0
0.024652995481600187,1,50,10,11,3.0,0.0
0.08912737221978001,1,50,10,11,5.0,0.0
1.082811008366371e-05,1,50,10,12,0.5,0.0
6.019632553551186e-05,1,50,10,12,1.0,0.0
0.025646195494857034,1,50,10,12,3.0,0.0
0.09339778890627563,1,50,10,12,5.0,0.0
0.0018090447861265951,1,50,20,8,0.5,0.0
0.0015429139837863837,1,50,20,8,1.0,0.0
0.002016345577133246,1,50,20,8,3.0,0.0
0.009267007536806681,1,50,20,8,5.0,0.0
0.000740462158120106,1,50,20,9,0.5,0.0
0.0006739637808663921,1,50,20,9,1.0,0.0
0.001353303500611884,1,50,20,9,3.0,0.0
0.008873247343795425,1,50,20,9,5.0,0.0
2.1268382243216802e-05,1,50,20,10,0.5,0.0
2.5516587559873044e-05,1,50,20,10,1.0,0.0
0.0008728192671122039,1,50,20,10,3.0,0.0
0.011086578758392572,1,50,20,10,5.0,0.0
2.197359304426944e-06,1,50,20,11,0.5,0.0
1.404796257801601e-05,1,50,20,11,1.0,0.0
0.0008874975510647548,1,50,20,11,3.0,0.0
0.011127291325769607,1,50,20,11,5.0,0.0
3.6739470581706914e-06,1,50,20,12,0.5,0.0
9.733305160262793e-06,1,50,20,12,1.0,0.0
0.0010474496469209025,1,50,20,12,3.0,0.0
0.012102731258382802,1,50,20,12,5.0,0.0
0.0017521266986887298,1,50,30,8,0.5,0.0
0.0015283512498206213,1,50,30,8,1.0,0.0
0.0015871003217914922,1,50,30,8,3.0,0.0
0.002745866281601281,1,50,30,8,5.0,0.0
0.0007953302320551089,1,50,30,9,0.5,0.0
0.0006696176035438251,1,50,30,9,1.0,0.0
0.0008539504393993429,1,50,30,9,3.0,0.0
0.00172705960662499,1,50,30,9,5.0,0.0
1.5761359024145114e-05,1,50,30,10,0.5,0.0
1.792647418030285e-05,1,50,30,10,1.0,0.0
0.00010821640177279995,1,50,30,10,3.0,0.0
0.0021534125581766633,1,50,30,10,5.0,0.0
1.6519029437933632e-06,1,50,30,11,0.5,0.0
9.159137008875326e-06,1,50,30,11,1.0,0.0
9.299925234464339e-05,1,50,30,11,3.0,0.0
0.0014026618325814872,1,50,30,11,5.0,0.0
2.330654310049001e-06,1,50,30,12,0.5,0.0
6.391275801579803e-06,1,50,30,12,1.0,0.0
0.00010829364971741306,1,50,30,12,3.0,0.0
0.001626081200013629,1,50,30,12,5.0,0.0
0.0019018310197188612,1,100,10,8,0.5,0.0
0.0015449015604353728,1,100,10,8,1.0,0.0
0.020259145328158895,1,100,10,8,3.0,0.0
0.07811173718833413,1,100,10,8,5.0,0.0
0.0007805902671182898,1,100,10,9,0.5,0.0
0.0006772800011522863,1,100,10,9,1.0,0.0
0.020664078974582792,1,100,10,9,3.0,0.0
0.07819227784173298,1,100,10,9,5.0,0.0
1.2391999977570479e-05,1,100,10,10,0.5,0.0
4.927585897225498e-05,1,100,10,10,1.0,0.0
0.024590031033296357,1,100,10,10,3.0,0.0
0.087266254911851,1,100,10,10,5.0,0.0
9.5278052812684e-06,1,100,10,11,0.5,0.0
4.7943351199366834e-05,1,100,10,11,1.0,0.0
0.025563032882638805,1,100,10,11,3.0,0.0
0.09188139144392321,1,100,10,11,5.0,0.0
5.072396300714906e-06,1,100,10,12,0.5,0.0
8.916375304346435e-05,1,100,10,12,1.0,0.0
0.026644729595508242,1,100,10,12,3.0,0.0
0.09554642557040037,1,100,10,12,5.0,0.0
0.0016636581605109732,1,100,20,8,0.5,0.0
0.0015235262305253873,1,100,20,8,1.0,0.0
0.0023539429653540223,1,100,20,8,3.0,0.0
0.009686962082575874,1,100,20,8,5.0,0.0
0.0008698567144247616,1,100,20,9,0.5,0.0
0.0006648238800336291,1,100,20,9,1.0,0.0
0.0013331131514035088,1,100,20,9,3.0,0.0
0.009038743361246626,1,100,20,9,5.0,0.0
3.216842980403414e-06,1,100,20,10,0.5,0.0
1.4561238774682101e-05,1,100,20,10,1.0,0.0
0.0008763339010088519,1,100,20,10,3.0,0.0
0.01130546388451495,1,100,20,10,5.0,0.0
2.498000710945639e-06,1,100,20,11,0.5,0.0
7.786516360385386e-06,1,100,20,11,1.0,0.0
0.000952434147509784,1,100,20,11,3.0,0.0
0.011766526269368558,1,100,20,11,5.0,0.0
